No,Apolymer,Bpolymer,PTApolymer,A:B:PTA,Cat,mol%,Mpa
38,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,C12=NCCCN1CCCN2,0.05,11.22
39,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,7.55
40,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,3.65
41,CC(OCC(O)CN(CC(COC(C)=O)O)CC1=CC=CO1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,20.09
42,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,27.32
43,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,18.32
44,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,49.3
45,CC(OCC(O)COCC1=CC=C(COCC(COC(C)=O)O)O1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,14.48
46,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,8.13
47,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(C(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,16.98
48,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,13.16
49,CC(OCC(O)COCC1=CC=C(COCC2=CC=C(COCC(COC(C)=O)O)O2)O1)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,13.82
50,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,52.48
51,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(C1=CC=C(CC(C=C2)=CC=C2N(CC(O)COC(C)=O)C(COC(C)=O)O)C=C1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(O[Zn]O1)CCCCC1=O,0.01,38.98
52,CC(OCC(O)COC(C1=CC=C(C(OCC(COC(C)=O)O)=O)O1)=O)=O,CC(OCC(CN(CC1=CC=C(C(C)(C2=CC=C(CN(CC(O)COC(C)=O)C(COC(C)=O)O)O2)C)O1)CC(O)COC(C)=O)O)=O,O=C(OC)CCC(C)SSCCC(SSC)CCC(OC)=O,10:10:30,O=C(C)O[Zn]OC(C)=O,0.01,36.03
